Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-08,780.03,789.79,779.68,780.7,77200,0.0,0
2020-01-09,782.66,790.02,782.66,785.01,52300,0.0,0
2020-01-10,786.28,786.28,768.41,772.05,67800,0.0,0
2020-01-13,773.16,779.84,770.23,774.83,89000,0.0,0
2020-01-14,773.53,783.71,773.16,780.08,64900,0.0,0
2020-01-15,777.96,787.75,777.96,783.83,43000,0.0,0
2020-01-16,783.83,790.81,783.83,790.54,62000,0.0,0
2020-01-17,791.51,799.16,790.3,799.16,53500,0.0,0
2020-01-21,796.95,798.61,786.32,787.66,47800,0.0,0
2020-01-22,788.99,791.51,786.04,789.81,53400,0.0,0
2020-01-23,786.71,792.38,778.52,792.14,47200,0.0,0
2020-01-24,792.73,793.61,785.83,787.7,30300,0.0,0
2020-01-27,779.82,786.05,778.8,778.8,34400,0.0,0
2020-01-28,780.01,792.68,780.01,782.31,65800,0.0,0
2020-01-29,784.58,786.71,778.47,780.38,40600,0.0,0
2020-01-30,780.9,795.19,777.53,794.53,78200,0.0,0
2020-01-31,793.47,797.14,780.66,780.66,45000,0.0,0
2020-02-03,784.08,796.34,770.24,791.67,58400,0.0,0
2020-02-04,798.69,803.49,793.77,799.06,33100,0.0,0
2020-02-05,800.42,810.05,798.66,802.24,31800,0.0,0
2020-02-06,802.44,811.19,801.22,803.75,24100,0.0,0
2020-02-07,802.13,807.12,799.05,802.12,33100,0.0,0
2020-02-10,801.43,803.5,795.18,802.03,64800,0.0,0
2020-02-11,804.48,808.87,799.87,804.36,40000,0.0,0
2020-02-12,806.91,806.91,795.8,798.46,30700,0.0,0
2020-02-13,796.14,810.67,796.14,805.05,62400,0.0,0
2020-02-14,806.36,811.86,803.55,807.63,36500,0.0,0
2020-02-18,801.55,819.29,801.55,818.27,47300,0.0,0
2020-02-19,819.08,829.88,811.84,821.58,76100,0.0,0
2020-02-20,809.26,809.26,775.61,783.37,92100,0.0,0
2020-02-21,779.83,785.12,770.24,771.35,59700,0.0,0
2020-02-24,759.78,769.25,755.73,759.46,48900,0.0,0
2020-02-25,760.59,760.7,735.02,735.79,63000,0.0,0
2020-02-26,737.91,744.28,727.4,727.4,67000,0.0,0
2020-02-27,716.5,723.71,689.85,689.85,61300,0.0,0
2020-02-28,671.25,680.84,652.48,657.92,132000,0.0,0
2020-03-02,661.41,707.35,661.41,704.38,122700,0.0,0
2020-03-03,703.28,712.3,681.84,688.83,98900,0.0,0
2020-03-04,701.73,727.72,701.2,725.34,90000,15.0,0
